game_type,5_players,6_players,7_players,8_players,9_players,10_players
all_RANDOM,8059,7978,8160,7607,8068,7370
RANDOM_resistance_vs_DETERMINISTIC_spies,535,980,1671,1381,2654,1944
single_RANDOM_spy_amongst_DETERMINISTIC_agents,8025,7917,8234,7651,8010,7372
single_RANDOM_resistance_amongst_DETERMINISTIC_agents,7982,8102,8311,7949,8185,7584
single_RANDOM_resistance_amongst_colluding_DETERMINISTIC_agents,512,836,852,574,1520,613
RANDOM_resistance_vs_BAYESIAN_spies,763,1430,2247,1599,1949,1514
single_RANDOM_spy_amongst_BAYESIAN_agents,8069,8073,8275,7569,8074,7374
single_RANDOM_resistance_amongst_BAYESIAN_agents,8082,8055,8276,7823,8215,7633
single_RANDOM_resistance_amongst_colluding_BAYESIAN_agents,720,1355,969,640,1187,699
all_DETERMINISTIC,1438,1612,2965,2323,2862,2302
DETERMINISTIC_resistance_vs_RANDOM_spies,8865,8662,8458,7716,8117,7166
single_DETERMINISTIC_spy_amongst_RANDOM_agents,3171,3926,6118,5225,6033,5651
single_DETERMINISTIC_resistance_amongst_RANDOM_agents,8032,8035,8227,7936,8226,7557
DETERMINISTIC_resistance_vs_BAYESIAN_spies,2265,2347,2767,2018,1509,1782
single_DETERMINISTIC_spy_amongst_BAYESIAN_agents,3236,3903,6036,5252,6190,5704
single_DETERMINISTIC_resistance_amongst_BAYESIAN_agents,8007,8036,8330,7907,8194,7577
single_DETERMINISTIC_resistance_amongst_colluding_BAYESIAN_agents,614,342,311,38,129,29
all_BAYESIAN,6360,4304,2546,1887,2534,1919
BAYESIAN_resistance_vs_RANDOM_spies,9089,8856,8923,8642,9011,8287
single_BAYESIAN_spy_amongst_RANDOM_agents,3134,3772,5538,4745,5291,5203
single_BAYESIAN_resistance_amongst_RANDOM_agents,8035,8032,8357,7899,8247,7538
BAYESIAN_resistance_vs_DETERMINISTIC_spies,5693,4828,4872,4358,5274,3552
single_BAYESIAN_spy_amongst_DETERMINISTIC_agents,3139,3662,5472,4790,5373,5148
single_BAYESIAN_resistance_amongst_DETERMINISTIC_agents,7950,8083,8348,7899,8181,7504
single_BAYESIAN_resistance_amongst_colluding_DETERMINISTIC_agents,5726,4980,4228,3264,4281,1860
